"date","value","topic","variable_short","variable_long","location","unit","source","update","public","description"
2019-12-31,9060.2556520142,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-01,10657.73608773,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-02,10671.927129244,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-03,10798.020627187,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-04,10910.957889282,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-05,11176.430493174,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-06,11208.985793358,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-07,10960.394435283,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-08,11324.260934419,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-09,11297.97907637,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-10,11406.005346822,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-11,11720.674595959,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-12,12106.263221288,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-13,11537.947817892,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-14,11455.953635671,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-15,11597.870029835,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
2020-01-16,11142.896967684,"Soziales","internet_datenvolumen","Internet-Datenvolumen","Schweiz","Terabit pro Tag","SwissIX Swiss Internet Exchange","täglich","ja","https://github.com/CGRBZH/covid19_soc_swissix"
